created_at,views,signatures
6.15.2018,35719,12617
6.16.2018,43579,14237
6.17.2018,34804,15242
6.18.2018,288824,85887
6.19.2018,256067,100340
6.20.2018,245354,76475
6.21.2018,189959,72749
6.22.2018,103637,36440
6.23.2018,69631,23077
6.24.2018,66133,21866
6.25.2018,60477,22227
6.26.2018,110151,38244
6.27.2018,80056,30339
6.28.2018,80253,28086
6.29.2018,54592,17088
6.30.2018,40208,13677
7.1.2018,42166,15645
7.2.2018,88240,33074
7.3.2018,148444,65767
7.4.2018,270986,107516
7.5.2018,149390,50891
7.6.2018,28580,7224
7.7.2018,14631,3648
7.8.2018,10633,2280
7.9.2018,8271,2145
7.10.2018,6814,1851
7.11.2018,5680,2070
7.12.2018,6853,2385
7.13.2018,5225,1083
7.14.2018,4081,938
7.15.2018,3490,613
7.16.2018,3526,918
7.17.2018,3154,1125
7.18.2018,2694,1043
7.19.2018,2523,977
7.20.2018,2165,555
7.21.2018,1958,549
7.22.2018,2210,479
7.23.2018,2046,578
7.24.2018,2001,536
7.25.2018,1816,473
7.26.2018,1703,652
7.27.2018,1519,464
7.28.2018,1383,346
7.29.2018,1450,344
7.30.2018,1515,493
7.31.2018,1606,762
8.1.2018,1438,575
8.2.2018,1272,650
8.3.2018,1198,424
8.4.2018,1099,316
8.5.2018,1264,458
8.6.2018,1262,922
8.7.2018,1166,507
8.8.2018,1132,456
8.9.2018,1149,585
8.10.2018,971,549
8.11.2018,933,371
8.12.2018,1122,496
8.13.2018,916,458
8.14.2018,975,368
8.15.2018,3453,1695
8.16.2018,7608,3487
8.17.2018,5148,2250
8.18.2018,2917,1073
8.19.2018,2162,716
8.20.2018,2023,981
8.21.2018,1381,736
8.22.2018,1475,899
8.23.2018,2698,1134
8.24.2018,2849,5691
8.25.2018,1993,1885
8.26.2018,3331,1750
8.27.2018,2028,1154
8.28.2018,2083,1060
8.29.2018,1749,841
8.30.2018,1212,631
8.31.2018,957,407
9.1.2018,946,285
9.2.2018,819,277
9.3.2018,909,316
9.4.2018,973,706
9.5.2018,1068,823
9.6.2018,8145,4509
9.7.2018,2776,1884
9.8.2018,2243,973
9.9.2018,2800,986
9.10.2018,4820,1612
9.11.2018,29162,11455
9.12.2018,66248,24464
9.13.2018,31131,10089
9.14.2018,14794,4833
9.15.2018,8637,2623
9.16.2018,7153,2236
9.17.2018,5262,1568
9.18.2018,6628,1645
9.19.2018,3144,974
9.20.2018,2536,666
9.21.2018,2137,1121
9.22.2018,1941,595
9.23.2018,2038,691
9.24.2018,1942,559
9.25.2018,1913,535
9.26.2018,1425,658
9.27.2018,1093,298
9.28.2018,809,141
9.29.2018,797,188
9.30.2018,823,204
10.1.2018,883,340
10.2.2018,735,338
10.3.2018,635,360
10.4.2018,810,377
10.5.2018,602,204
10.6.2018,568,155
10.7.2018,672,152
10.8.2018,582,547
10.9.2018,576,604
10.10.2018,549,425
10.11.2018,522,319
10.12.2018,583,699
10.13.2018,554,260
10.14.2018,505,244
10.15.2018,487,397
10.16.2018,508,866
10.17.2018,472,486
10.18.2018,395,372
10.19.2018,451,187
10.20.2018,558,106
10.21.2018,551,116
10.22.2018,938,286
10.23.2018,2291,835
10.24.2018,541,131
10.25.2018,552,170
10.26.2018,424,128
10.27.2018,534,121
10.28.2018,991,345
10.29.2018,500,130
10.30.2018,527,200
10.31.2018,409,138
11.1.2018,450,203
11.2.2018,47973,15346
11.3.2018,438901,131043
11.4.2018,1184440,296391
11.5.2018,1139386,237413
11.6.2018,558796,110745
11.7.2018,252583,50945
11.8.2018,129445,21309
11.9.2018,76377,13203
11.10.2018,65610,9829
11.11.2018,50567,7701
11.12.2018,34955,6043
11.13.2018,33270,6942
11.14.2018,51346,16237
11.15.2018,57751,18781
11.16.2018,43219,10716
11.17.2018,341861,162677
11.18.2018,377135,151902
11.19.2018,232577,85838
11.20.2018,503096,193126
11.21.2018,528901,183699
11.22.2018,407493,133999
11.23.2018,351822,101521
11.24.2018,300868,85262
11.25.2018,270885,81808
11.26.2018,242861,84968
11.27.2018,392833,152618
11.28.2018,332300,111324
11.29.2018,208286,74734
11.30.2018,226241,82423
12.1.2018,220134,78730
12.2.2018,168492,54309
12.3.2018,144521,48334
12.4.2018,130389,41433
12.5.2018,115221,30656
12.6.2018,67089,14837
12.7.2018,79845,17735
12.8.2018,59834,11587
12.9.2018,58902,11340
12.10.2018,50132,11989
12.11.2018,37243,7312
12.12.2018,31946,5213
12.13.2018,26603,3762
12.14.2018,25430,3556
12.15.2018,26041,3184
12.16.2018,24418,2708
12.17.2018,19216,2320
12.18.2018,23739,3042
12.19.2018,28806,4153
12.20.2018,24753,3696
12.21.2018,19709,2014
12.22.2018,25615,1956
12.23.2018,23370,2364
12.24.2018,18126,1518
12.25.2018,18137,1410
12.26.2018,26546,2677
12.27.2018,31989,4345
12.28.2018,42203,6705
12.29.2018,42974,6548
12.30.2018,38861,5851
12.31.2018,27943,3721
1.1.2019,22277,2440
1.2.2019,22240,2332
1.3.2019,22746,2955
1.4.2019,17377,2803
1.5.2019,17051,2553
1.6.2019,16848,2137
1.7.2019,12755,1620
1.8.2019,13906,2274
1.9.2019,16042,2864
1.10.2019,33877,9213
1.11.2019,290836,106818
1.12.2019,400656,129531
1.13.2019,140013,36900
1.14.2019,72015,19746
1.15.2019,44889,10907
1.16.2019,37134,7677
1.17.2019,28206,5326
1.18.2019,109085,24245
1.19.2019,157033,33474
1.20.2019,113106,20147
1.21.2019,96439,15666
1.22.2019,83070,13044
1.23.2019,47313,8441
1.24.2019,26648,4599
1.25.2019,25699,4616
1.26.2019,19863,3284
1.27.2019,16165,2511
1.28.2019,13265,2370
1.29.2019,16097,2704
1.30.2019,11299,1912
1.31.2019,8644,1270
2.1.2019,7592,998
2.2.2019,11332,1429
2.3.2019,9484,1099
2.4.2019,7935,697
2.5.2019,9401,1083
2.6.2019,12029,1510
2.7.2019,115803,34994
2.8.2019,173508,44689
2.9.2019,91077,14341
2.10.2019,63088,11167
2.11.2019,43901,7261
2.12.2019,98750,13132
2.13.2019,113695,12685
2.14.2019,154454,18225
2.15.2019,70908,11032
2.16.2019,67392,8425
2.17.2019,74972,8826
2.18.2019,73968,9439
2.19.2019,58672,8834
2.20.2019,110097,33954
2.21.2019,54280,30247
2.22.2019,31959,9767
2.23.2019,31684,5772
2.24.2019,43606,12557
2.25.2019,29799,6994
2.26.2019,30465,6219
2.27.2019,23104,4850
2.28.2019,25446,5222
3.1.2019,26867,4856
3.2.2019,21252,3168
3.3.2019,21084,3287
3.4.2019,25065,3402
3.5.2019,34791,5631
3.6.2019,30653,5731
3.7.2019,21412,3949
3.8.2019,27056,4736
3.9.2019,23652,3891
3.10.2019,20062,3759
3.11.2019,18270,3506
3.12.2019,18609,3602
3.13.2019,21828,5981
3.14.2019,29391,6267
3.15.2019,20610,4415
3.16.2019,14203,3238
3.17.2019,12946,2677
3.18.2019,16080,2703
3.19.2019,67016,6348
3.20.2019,50928,6532
3.21.2019,331810,80555
3.22.2019,122815,27603
3.23.2019,84083,19054
3.24.2019,62580,13380
3.25.2019,80828,15441
3.26.2019,130807,21649
3.27.2019,93411,17220
3.28.2019,63665,12484
3.29.2019,61156,13092
3.30.2019,67475,14409
3.31.2019,31960,7078
4.1.2019,21905,5514
4.2.2019,17018,4182
4.3.2019,17934,4028
4.4.2019,12522,2921
4.5.2019,11404,2390
4.6.2019,9321,1943
4.7.2019,9930,1891
4.8.2019,9333,1650
4.9.2019,7001,1329
4.10.2019,6551,1284
4.11.2019,6146,1035
4.12.2019,5517,944
4.13.2019,5140,860
4.14.2019,5424,844
4.15.2019,5435,821
4.16.2019,4816,759
4.17.2019,4543,756
4.18.2019,3744,540
4.19.2019,3646,507
4.20.2019,3214,410
4.21.2019,4410,615
4.22.2019,5882,725
4.23.2019,4321,603
4.24.2019,6400,1128
4.25.2019,4913,1083
4.26.2019,3785,817
4.27.2019,4239,722
4.28.2019,3485,532
4.29.2019,3466,602
4.30.2019,3602,598
